StillStandingNo,date,watch_processed_path,watch_timecode,phone_processed_path,phone_timecode,audio_processed_path,video_processed_spherical_path
1,2023-01-01,1-raw/01/2023-01-01/2-processed/stillstanding_1_watch.csv,2023-01-01 11:02:13,1-raw/01/2023-01-01/2-processed/stillstanding_1_phone.csv,2023-01-01 11:02:02,1-raw/01/2023-01-01/2-processed/stillstanding_1_ambisonics.wav,1-raw/01/2023-01-01/2-processed/stillstanding_1_spherical.mp4
2,2023-01-02,1-raw/01/2023-01-02/2-processed/stillstanding_2_watch.csv,2023-01-02 11:59:32,1-raw/01/2023-01-02/2-processed/stillstanding_2_phone.csv,2023-01-02 11:59:09,1-raw/01/2023-01-02/2-processed/stillstanding_2_ambisonics.wav,1-raw/01/2023-01-02/2-processed/stillstanding_2_spherical.mp4
3,2023-01-03,1-raw/01/2023-01-03/2-processed/stillstanding_3_watch.csv,2023-01-03 11:35:48,1-raw/01/2023-01-03/2-processed/stillstanding_3_phone.csv,2023-01-03 11:35:29,1-raw/01/2023-01-03/2-processed/stillstanding_3_ambisonics.wav,1-raw/01/2023-01-03/2-processed/stillstanding_3_spherical.mp4
4,2023-01-04,1-raw/01/2023-01-04/2-processed/stillstanding_4_watch.csv,2023-01-04 12:34:25,1-raw/01/2023-01-04/2-processed/stillstanding_4_phone.csv,2023-01-04 12:34:10,1-raw/01/2023-01-04/2-processed/stillstanding_4_ambisonics.wav,1-raw/01/2023-01-04/2-processed/stillstanding_4_spherical.mp4
5,2023-01-05,1-raw/01/2023-01-05/2-processed/stillstanding_5_watch.csv,2023-01-05 11:43:59,1-raw/01/2023-01-05/2-processed/stillstanding_5_phone.csv,2023-01-05 11:43:41,1-raw/01/2023-01-05/2-processed/stillstanding_5_ambisonics.wav,1-raw/01/2023-01-05/2-processed/stillstanding_5_spherical.mp4
6,2023-01-06,1-raw/01/2023-01-06/2-processed/stillstanding_6_watch.csv,2023-01-06 12:31:24,1-raw/01/2023-01-06/2-processed/stillstanding_6_phone.csv,2023-01-06 12:31:01,1-raw/01/2023-01-06/2-processed/stillstanding_6_ambisonics.wav,1-raw/01/2023-01-06/2-processed/stillstanding_6_spherical.mp4
7,2023-01-07,1-raw/01/2023-01-07/2-processed/stillstanding_7_watch.csv,2023-01-07 13:53:20,1-raw/01/2023-01-07/2-processed/stillstanding_7_phone.csv,2023-01-07 13:53:00,1-raw/01/2023-01-07/2-processed/stillstanding_7_ambisonics.wav,1-raw/01/2023-01-07/2-processed/stillstanding_7_spherical.mp4
8,2023-01-08,1-raw/01/2023-01-08/2-processed/stillstanding_8_watch.csv,2023-01-08 12:51:23,1-raw/01/2023-01-08/2-processed/stillstanding_8_phone.csv,2023-01-08 12:50:48,1-raw/01/2023-01-08/2-processed/stillstanding_8_ambisonics.wav,1-raw/01/2023-01-08/2-processed/stillstanding_8_spherical.mp4
9,2023-01-09,1-raw/01/2023-01-09/2-processed/stillstanding_9_watch.csv,2023-01-09 12:14:52,1-raw/01/2023-01-09/2-processed/stillstanding_9_phone.csv,2023-01-09 12:14:38,1-raw/01/2023-01-09/2-processed/stillstanding_9_ambisonics.wav,1-raw/01/2023-01-09/2-processed/stillstanding_9_spherical.mp4
10,2023-01-10,1-raw/01/2023-01-10/2-processed/stillstanding_10_watch.csv,2023-01-10 12:00:09,1-raw/01/2023-01-10/2-processed/stillstanding_10_phone.csv,2023-01-10 11:59:55,1-raw/01/2023-01-10/2-processed/stillstanding_10_ambisonics.wav,1-raw/01/2023-01-10/2-processed/stillstanding_10_spherical.mp4
11,2023-01-11,1-raw/01/2023-01-11/2-processed/stillstanding_11_watch.csv,2023-01-11 13:32:55,1-raw/01/2023-01-11/2-processed/stillstanding_11_phone.csv,2023-01-11 13:32:26,1-raw/01/2023-01-11/2-processed/stillstanding_11_ambisonics.wav,1-raw/01/2023-01-11/2-processed/stillstanding_11_spherical.mp4
12,2023-01-12,1-raw/01/2023-01-12/2-processed/stillstanding_12_watch.csv,2023-01-12 12:35:29,1-raw/01/2023-01-12/2-processed/stillstanding_12_phone.csv,2023-01-12 12:35:06,1-raw/01/2023-01-12/2-processed/stillstanding_12_ambisonics.wav,1-raw/01/2023-01-12/2-processed/stillstanding_12_spherical.mp4
13,2023-01-13,1-raw/01/2023-01-13/2-processed/stillstanding_13_watch.csv,2023-01-13 14:13:00,1-raw/01/2023-01-13/2-processed/stillstanding_13_phone.csv,2023-01-13 14:12:47,1-raw/01/2023-01-13/2-processed/stillstanding_13_ambisonics.wav,1-raw/01/2023-01-13/2-processed/stillstanding_13_spherical.mp4
14,2023-01-14,1-raw/01/2023-01-14/2-processed/stillstanding_14_watch.csv,2023-01-14 11:36:13,1-raw/01/2023-01-14/2-processed/stillstanding_14_phone.csv,2023-01-14 11:35:56,1-raw/01/2023-01-14/2-processed/stillstanding_14_ambisonics.wav,1-raw/01/2023-01-14/2-processed/stillstanding_14_spherical.mp4
15,2023-01-15,1-raw/01/2023-01-15/2-processed/stillstanding_15_watch.csv,2023-01-15 14:44:59,1-raw/01/2023-01-15/2-processed/stillstanding_15_phone.csv,2023-01-15 14:44:18,1-raw/01/2023-01-15/2-processed/stillstanding_15_ambisonics.wav,1-raw/01/2023-01-15/2-processed/stillstanding_15_spherical.mp4
16,2023-01-16,1-raw/01/2023-01-16/2-processed/stillstanding_16_watch.csv,2023-01-16 12:00:15,1-raw/01/2023-01-16/2-processed/stillstanding_16_phone.csv,2023-01-16 11:59:58,1-raw/01/2023-01-16/2-processed/stillstanding_16_ambisonics.wav,1-raw/01/2023-01-16/2-processed/stillstanding_16_spherical.mp4
17,2023-01-17,1-raw/01/2023-01-17/2-processed/stillstanding_17_watch.csv,2023-01-17 10:42:44,1-raw/01/2023-01-17/2-processed/stillstanding_17_phone.csv,2023-01-17 10:42:38,1-raw/01/2023-01-17/2-processed/stillstanding_17_ambisonics.wav,1-raw/01/2023-01-17/2-processed/stillstanding_17_spherical.mp4
18,2023-01-18,1-raw/01/2023-01-18/2-processed/stillstanding_18_watch.csv,2023-01-18 10:46:05,1-raw/01/2023-01-18/2-processed/stillstanding_18_phone.csv,2023-01-18 10:45:43,1-raw/01/2023-01-18/2-processed/stillstanding_18_ambisonics.wav,1-raw/01/2023-01-18/2-processed/stillstanding_18_spherical.mp4
