StillStandingNo,Date,watch_source_path,watch_timecode,phone_source_path,phone_timecode,phone_clap_start,phone_clap_start,audio_source_path,audio_clap_start,audio_clap_end,video_source_LRV_path_1,video_source_LRV_path_2,video_source_LRV_path_3,video_source_LRV_path_4,video_source_360_path_1,video_source_360_path_1,video_source_360_path_3,video_source_360_path_4,video_clap_start,video_clap_end,video_clap_start_an,video_clap_end_an,video_crop_person_height,video_crop_person_width,video_crop_person_xpos,video_crop_person_ypos
1,2023-01-01,1-raw/01/2023-01-01/1-raw/2023-01-01_11-02-13_polar.CSV,2023-01-01 11:02:13,1-raw/01/2023-01-01/1-raw/2023-01-01T11.02.02.csv,2023-01-01 11:02:02,22.0,598.0,1-raw/01/2023-01-01/1-raw/2023-01-01-001.WAV,0:01:47,0:11:18,1-raw/01/2023-01-01/1-raw/2023-01-01-GS010008.LRV,1-raw/01/2023-01-01/1-raw/2023-01-01-GS020008.LRV,,,1-raw/01/2023-01-01/1-raw/2023-01-01-GS010008.360,1-raw/01/2023-01-01/1-raw/2023-01-01-GS020008.360,,,00:01:33,00:11:04,00:01:33,00:11:04,1530.0,637.0,380.0,1100.0
2,2023-01-02,1-raw/01/2023-01-02/1-raw/2023-01-02_11-59-32_polar.CSV,2023-01-02 11:59:32,1-raw/01/2023-01-02/1-raw/2023-01-02T11.59.09.csv,2023-01-02 11:59:09,26.0,593.0,1-raw/01/2023-01-02/1-raw/2023-01-02-001.WAV,0:00:57,0:10:24,1-raw/01/2023-01-02/1-raw/2023-01-02-GS010009.LRV,1-raw/01/2023-01-02/1-raw/2023-01-02-GS020009.LRV,,,1-raw/01/2023-01-02/1-raw/2023-01-02-GS010009.360,1-raw/01/2023-01-02/1-raw/2023-01-02-GS020009.360,,,00:01:02,00:10:28,00:00:59,00:10:24,1530.0,637.0,305.0,990.0
3,2023-01-03,1-raw/01/2023-01-03/1-raw/2023-01-03_11-35-48_polar.CSV,2023-01-03 11:35:48,1-raw/01/2023-01-03/1-raw/2023-01-03T11.35.29.csv,2023-01-03 11:35:29,24.0,593.0,1-raw/01/2023-01-03/1-raw/2023-01-03-001.WAV,0:01:19,0:10:46,1-raw/01/2023-01-03/1-raw/2023-01-03-GS010010.LRV,1-raw/01/2023-01-03/1-raw/2023-01-03-GS020010.LRV,,,1-raw/01/2023-01-03/1-raw/2023-01-03-GS010010.360,1-raw/01/2023-01-03/1-raw/2023-01-03-GS020010.360,,,00:01:10,00:10:38,00:01:11,00:10:37,1530.0,637.0,370.0,980.0
4,2023-01-04,1-raw/01/2023-01-04/1-raw/2023-01-04_12-34-25_polar.CSV,2023-01-04 12:34:25,1-raw/01/2023-01-04/1-raw/2023-01-04T12.34.10.csv,2023-01-04 12:34:10,21.0,592.0,1-raw/01/2023-01-04/1-raw/2023-01-04-001.WAV,0:02:11,0:11:43,1-raw/01/2023-01-04/1-raw/2023-01-04-GS010012.LRV,1-raw/01/2023-01-04/1-raw/2023-01-04-GS020012.LRV,,,1-raw/01/2023-01-04/1-raw/2023-01-04-GS010012.360,1-raw/01/2023-01-04/1-raw/2023-01-04-GS020012.360,,,00:02:07,00:11:39,00:02:07,00:11:37,1210.0,504.0,410.0,1130.0
5,2023-01-05,1-raw/01/2023-01-05/1-raw/2023-01-05_11-43-59_polar.CSV,2023-01-05 11:43:59,1-raw/01/2023-01-05/1-raw/2023-01-05T11.43.41.csv,2023-01-05 11:43:41,22.0,593.0,1-raw/01/2023-01-05/1-raw/2023-01-05-001.WAV,0:01:05,0:10:39,1-raw/01/2023-01-05/1-raw/2023-01-05-GS010013.LRV,1-raw/01/2023-01-05/1-raw/2023-01-05-GS020013.LRV,,,1-raw/01/2023-01-05/1-raw/2023-01-05-GS010013.360,1-raw/01/2023-01-05/1-raw/2023-01-05-GS020013.360,,,00:01:11,00:10:47,00:01:11,00:10:45,1330.0,554.0,460.0,1060.0
6,2023-01-06,1-raw/01/2023-01-06/1-raw/2023-01-06_12-31-24_polar.CSV,2023-01-06 12:31:24,1-raw/01/2023-01-06/1-raw/2023-01-06T12.31.01.csv,2023-01-06 12:31:01,35.0,598.0,1-raw/01/2023-01-06/1-raw/2023-01-06-002.WAV,0:01:13,0:10:36,1-raw/01/2023-01-06/1-raw/2023-01-06-GS010015.LRV,1-raw/01/2023-01-06/1-raw/2023-01-06-GS020015.LRV,,,1-raw/01/2023-01-06/1-raw/2023-01-06-GS010015.360,1-raw/01/2023-01-06/1-raw/2023-01-06-GS020015.360,,,00:0:59,00:10:22,00:00:59,00:10.21,1070.0,445.0,420.0,1310.0
7,2023-01-07,1-raw/01/2023-01-07/1-raw/2023-01-07_13-53-20_polar.CSV,2023-01-07 13:53:20,1-raw/01/2023-01-07/1-raw/2023-01-07T13.53.00.csv,2023-01-07 13:53:00,28.0,577.0,1-raw/01/2023-01-07/1-raw/2023-01-07-001.WAV,0:00:51,0:09:58,1-raw/01/2023-01-07/1-raw/2023-01-07-GS010016.LRV,1-raw/01/2023-01-07/1-raw/2023-01-07-GS020016.LRV,,,1-raw/01/2023-01-07/1-raw/2023-01-07-GS010016.360,1-raw/01/2023-01-07/1-raw/2023-01-07-GS020016.360,,,00:00:43,00:09:52,00:00:44,00:09:50,1210.0,504.0,470.0,1150.0
8,2023-01-08,1-raw/01/2023-01-08/1-raw/2023-01-08_12-51-23_polar.CSV,2023-01-08 12:51:23,1-raw/01/2023-01-08/1-raw/2023-01-08T12.50.48.csv,2023-01-08 12:50:48,38.0,590.0,1-raw/01/2023-01-08/1-raw/2023-01-08-001.WAV,0:01:42,0:10:55,1-raw/01/2023-01-08/1-raw/2023-01-08-GS010017.LRV,1-raw/01/2023-01-08/1-raw/2023-01-08-GS020017.LRV,,,1-raw/01/2023-01-08/1-raw/2023-01-08-GS010017.360,1-raw/01/2023-01-08/1-raw/2023-01-08-GS020017.360,,,00:01:47,00:10:59,00:01:47,00:10:57,860.0,358.0,490.0,1350.0
9,2023-01-09,1-raw/01/2023-01-09/1-raw/2023-01-09_12-14-52_polar.CSV,2023-01-09 12:14:52,1-raw/01/2023-01-09/1-raw/2023-01-09T12.14.38.csv,2023-01-09 12:14:38,20.0,597.0,1-raw/01/2023-01-09/1-raw/2023-01-09-001.WAV,0:01:09,0:10:48,1-raw/01/2023-01-09/1-raw/2023-01-09-GS010018.LRV,1-raw/01/2023-01-09/1-raw/2023-01-09-GS020018.LRV,,,1-raw/01/2023-01-09/1-raw/2023-01-09-GS010018.360,1-raw/01/2023-01-09/1-raw/2023-01-09-GS020018.360,,,00:01:12,00:10:50,00:01:13,00:10:49,950.0,395.0,560.0,1380.0
10,2023-01-10,1-raw/01/2023-01-10/1-raw/2023-01-10_12-00-09_polar.CSV,2023-01-10 12:00:09,1-raw/01/2023-01-10/1-raw/2023-01-10T11.59.55.csv,2023-01-10 11:59:55,26.0,595.0,1-raw/01/2023-01-10/1-raw/2023-01-10-001.WAV,0:01:12,0:10:41,1-raw/01/2023-01-10/1-raw/2023-01-10-GS010019.LRV,1-raw/01/2023-01-10/1-raw/2023-01-10-GS020019.LRV,,,1-raw/01/2023-01-10/1-raw/2023-01-10-GS010019.360,1-raw/01/2023-01-10/1-raw/2023-01-10-GS020019.360,,,00:00:57,00:10:27,00:00:58,00:10:26,1080.0,450.0,460.0,1230.0
11,2023-01-11,1-raw/01/2023-01-11/1-raw/2023-01-11_13-32-55_polar.CSV,2023-01-11 13:32:55,1-raw/01/2023-01-11/1-raw/2023-01-11T13.32.26.csv,2023-01-11 13:32:26,34.0,599.0,1-raw/01/2023-01-11/1-raw/2023-01-11-001.WAV,0:01:10,0:10:36,1-raw/01/2023-01-11/1-raw/2023-01-11-GS010020.LRV,1-raw/01/2023-01-11/1-raw/2023-01-11-GS020020.LRV,,,1-raw/01/2023-01-11/1-raw/2023-01-11-GS010020.360,1-raw/01/2023-01-11/1-raw/2023-01-11-GS020020.360,,,00:01:12,00:10:37,00:01:13,00:10.36,1120.0,466.0,450.0,1160.0
12,2023-01-12,1-raw/01/2023-01-12/1-raw/2023-01-12_12-35-29_polar.CSV,2023-01-12 12:35:29,1-raw/01/2023-01-12/1-raw/2023-01-12T12.35.06.csv,2023-01-12 12:35:06,28.0,598.0,1-raw/01/2023-01-12/1-raw/2023-01-12-001.WAV,0:01:04,0:10:35,1-raw/01/2023-01-12/1-raw/2023-01-12-GS010021.LRV,1-raw/01/2023-01-12/1-raw/2023-01-12-GS020021.LRV,,,1-raw/01/2023-01-12/1-raw/2023-01-12-GS010021.360,1-raw/01/2023-01-12/1-raw/2023-01-12-GS020021.360,,,00:01:10,00:10:40,00:01:11,00:10:39,1130.0,470.0,455.0,1210.0
13,2023-01-13,1-raw/01/2023-01-13/1-raw/2023-01-13_14-13-00_polar.CSV,2023-01-13 14:13:00,1-raw/01/2023-01-13/1-raw/2023-01-13T14.12.47.csv,2023-01-13 14:12:47,20.0,588.0,1-raw/01/2023-01-13/1-raw/2023-01-13-001.WAV,0:01:10,0:10:38,1-raw/01/2023-01-13/1-raw/2022-01-13-GS010023.LRV,1-raw/01/2023-01-13/1-raw/2022-01-13-GS020023.LRV,,,1-raw/01/2023-01-13/1-raw/2022-01-13-GS010023.360,1-raw/01/2023-01-13/1-raw/2022-01-13-GS020023.360,,,00:01:03,00:10:30,00:01:03,00:10:31,980.0,408.0,455.0,1320.0
